department,internal_id,last_sold,name,price,properties,quantity,tags,upc
LIQUOR,,2020-03-05 00:00:00,Oban 14 Years 750ml Scotch,65.39,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088110160050
WINE,,2019-06-20 00:00:00,Moet & Chandon Rose Imp Sparkl 750ml Import,58.84,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088110552404
BEER,,2019-09-24 00:00:00,New Castle Brown 6pk 12oz Import,11.65,"{""department"": ""BEER"", ""vendor"": ""NULL"", ""description"": ""NULL""}",1.00000000,low_margin,088345100050
LIQUOR,,2019-06-18 00:00:00,EverClear Grain Alcohol 750ml,19.61,"{""department"": ""LIQUOR"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088352100036
BEER,,2019-11-16 00:00:00,Oktoberfest Spaten,11.98,"{""department"": ""BEER"", ""vendor"": ""NONE"", ""description"": ""NULL""}",NULL,low_margin,088394000066
WINE,,2019-08-09 00:00:00,Simi Chard 750ml Domestic,16.04,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088415784050
WINE,,2019-08-02 00:00:00,Evolution Pinot Noir 750ml Domestic,21.39,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088473104135
WINE,,2019-04-21 00:00:00,Soleil Mimosa Classic Sparklin 750ml Domestic,10.69,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088498110302
LIQUOR,,2019-04-22 00:00:00,Southern Comfort Liqueur 50ml,2.17,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088544000021
LIQUOR,,2019-04-17 00:00:00,Southern Comfort 750ml Liqueur,20.7,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088544019054
LIQUOR,,2019-04-19 00:00:00,Southern Comfort Liqueur 375ml,10.69,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088544019139
LIQUOR,,2019-04-22 00:00:00,Southern Comfort Liqueur 200ml,6.53,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088544019160
WINE,,2020-04-22 00:00:00,Intrinsic Cab Sav 750ml Domestic,21.39,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088586007859
WINE,,2019-04-20 00:00:00,Ste. Michelle Cab Sav 750ml Domestic,16.34,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,low_margin,088586601835
LIQUOR,,2020-02-22 00:00:00,Gordons Gin 50ml,1.6,"{""department"": ""LIQUOR"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088600000057
WINE,,2019-08-09 00:00:00,Ed Hardy Original Sang Sparkli 750ml Import,7.48,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088603010060
WINE,,2019-07-14 00:00:00,Ed Hardy Original Sang Sparkli 1.5L Import,12.83,"{""department"": ""WINE"", ""vendor"": ""NULL"", ""description"": ""NULL""}",NULL,high_margin,088603010213
